game,tournament_name,team_left,team_right,start_time,links
cs2,Thunderpick World Championship 2024,BIG,Aurora,2024-10-24T16:30:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/GRID_Esports""]"
cs2,Thunderpick World Championship 2024,M80,BESTIA,2024-10-24T19:30:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/GRID_Esports""]"
cs2,Thunderpick World Championship 2024,OG,VP,2024-10-25T16:30:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/GRID_Esports""]"
cs2,ESL Challenger Katowice 2024,EF,B8,2024-10-25T17:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/ESL_Counter-Strike""]"
cs2,ESL Challenger Katowice 2024,SAW,Falcons,2024-10-25T18:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/ESL_Counter-Strike""]"
cs2,ESL Challenger Katowice 2024,MIBR,Legacy,2024-10-25T19:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/ESL_Counter-Strike""]"
cs2,ESL Challenger Katowice 2024,paiN,Monte,2024-10-25T20:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/ESL_Counter-Strike""]"
cs2,BLAST Premier: World Final 2024,NAVI,Astralis,2024-10-30T13:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/BLAST_Premier""]"
cs2,BLAST Premier: World Final 2024,FaZe,MOUZ,2024-10-30T15:30:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/BLAST_Premier""]"
cs2,BLAST Premier: World Final 2024,G2,Liquid,2024-10-30T18:00:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/BLAST_Premier""]"
cs2,BLAST Premier: World Final 2024,Vitality,Spirit,2024-10-30T20:30:00+07:00,"[""https://liquipedia.net/counterstrike/Special:Stream/twitch/BLAST_Premier""]"
